Autor,Posts,Date,content
"
Herr Barnack","5,040 posts",10/30/2021 04:42  PM,"



		1 hour ago, Artin said:
	


			If or when say M11 is out..Ok Traditional Leica M with Rangefinder say 40-50 MPX improved buffer and all same size and same layout as always price tag $9500 us .. Great all good 
		

			Now along side they release another camera for the M No range finder .. high Rez EVF.. Ibis .. 40-50MPX..electronic shutter, stacked sensor .. Video.. manual focus M mount ... Made in Japan not Germany.. But high quality standards.  Relatively same size and layout of the M ...at $3500.00 US. Would you Buy one ??  




	Since this is a hypothetical question, my answer would be a ""yes"" - hypothetically, of course.


	I would not buy the hypothetical Japan made camera instead of an M11 but as an adjunct to the M11.


	All the above is contingent upon my suddenly experiencing an unexpected financial windfall so that I would have the hard currency to buy both hypothetical cameras.  As it turns out, attempting to buy any M camera or lens with hypothetical money yields the same end result as attempting to buy with the much ballyhooed ""exposure dollars"" that companies who want photographers to work for free always dangle in front of us.


Edited October 30 by Herr Barnack

"
"
M8X2",21 posts,10/30/2021 05:34  PM,"



		vor 2 Stunden schrieb Artin:
	


			If or when say M11 is out..Ok Traditional Leica M with Rangefinder say 40-50 MPX improved buffer and all same size and same layout as always price tag $9500 us .. Great all good 
		

			Now along side they release another camera for the M No range finder .. high Rez EVF.. Ibis .. 40-50MPX..electronic shutter, stacked sensor .. Video.. manual focus M mount ... Made in Japan not Germany.. But high quality standards.  Relatively same size and layout of the M ...at $3500.00 US. Would you Buy one ??  
		



	I would buy a Q with an M-mount in a split second.


Edited October 30 by M8X2

"
"
Artin","1,624 posts",10/30/2021 05:35  PM,"


	I would buy one as a second body in a split second as well 

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Matlock","1,024 posts",10/30/2021 05:42  PM,"



		57 minutes ago, LocalHero1953 said:
	


			Really? I never knew that!
		



	 The 'M' stands for Messsucher or rangefinder in German. However the M1 and the MD series seem not to obey that rule.

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Jeff S","18,643 posts",10/30/2021 05:47  PM,"



		3 minutes ago, Matlock said:
	


			 However the M1 and the MD series seem not to obey that rule.




	Sure they do…. M doesn’t stand for Monitor… the RF remains.


	Jeff

"
"
IkarusJohn","10,120 posts",10/30/2021 06:18  PM,"


	I would be outraged, I’d suffer a huge crisis, I’d sell all my Leica gear in protest, and I’d buy a Z9, or a Fuji, or a Sony …


Edited October 30 by IkarusJohn

"
"
Matlock","1,024 posts",10/30/2021 06:29  PM,"



		40 minutes ago, Jeff S said:
	


			Sure they do…. M doesn’t stand for Monitor… the RF remains.
		

			Jeff
		



	The M stands for Messsucher or Rangefinder which the M1 and MD do not have.

"
"
T25UFO",779 posts,10/30/2021 06:34  PM,"


	Hypothetical answer: no

"
"
LBJ2",640 posts,10/30/2021 06:36  PM,"



		3 hours ago, Artin said:
	


			If or when say M11 is out..Ok Traditional Leica M with Rangefinder say 40-50 MPX improved buffer and all same size and same layout as always price tag $9500 us .. Great all good 
		

			Now along side they release another camera for the M No range finder .. high Rez EVF.. Ibis .. 40-50MPX..electronic shutter, stacked sensor .. Video.. manual focus M mount ... Made in Japan not Germany.. But high quality standards.  Relatively same size and layout of the M ...at $3500.00 US. Would you Buy one ??  
		



	For me the second option is well covered with so many other mirrorless cameras on the market for some years now. Besides if your mystery camera is Leica FF @ $3500...hell did in fact freeze over and we have other problems to deal with 😉🙃


	Seriously, IMO the SL2/S are such great options with all the mirrorless bells and whistles for adapting M lenses and on the shelves available for purchase as I type its really hard to dream of anything else.


	The Leica Rangefinder is however a completely different love affair for me. Not really looking for another lovely at the moment. As the M10-R is Simply Irresistible according to Robert Palmer's definition. *May he RIP. 

"
"
LBJ2",640 posts,10/30/2021 06:42  PM,"

Advertisement (gone after registration)



 


		10 minutes ago, Matlock said:
	


			The M stands for Messsucher or Rangefinder which the M1 and MD do not have.
		



	Had to look both up. 


	""The M1 has a parallax-corrected viewfinder with frames for 35 and 50mm permanently displayed""


	What do you mean by Leica MD ? Rangefinders pop up when I google Leica MD.

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
NigelG","1,362 posts",10/30/2021 06:50  PM,"


	See the forum’s Leica Wiki.
	M1 had a viewfinder only (not a combined rangefinder and viewfinder) and the MD, MDa and MD-2 had no viewfinder at all..


	 


https://www.l-camera-forum.com/leica-wiki.en/index.php/File:MD-top.jpg


Edited October 30 by NigelG

"
"
Matlock","1,024 posts",10/30/2021 07:00  PM,"



		16 minutes ago, LBJ2 said:
	


			Had to look both up. 
		

			""The M1 has a parallax-corrected viewfinder with frames for 35 and 50mm permanently displayed""
		

			What do you mean by Leica MD ? Rangefinders pop up when I google Leica MD.
		



	As NigelG has said the M1 has a viewfinder but no rangefinder and the MD series have no viewfinder at all.

"
"
LBJ2",640 posts,10/30/2021 07:05  PM,"



		14 minutes ago, NigelG said:
	


			See the forum’s Leica Wiki.
			M1 had a viewfinder only (not a combined rangefinder and viewfinder) and the MD, MDa and MD-2 had no viewfinder at all..
		

			 
		

https://www.l-camera-forum.com/leica-wiki.en/index.php/File:MD-top.jpg




	Thank you. Another set of Leica cameras I've never heard of! 

"
"
Artin","1,624 posts",10/30/2021 07:11  PM,"



		42 minutes ago, Matlock said:
	


			The M stands for Messsucher or Rangefinder which the M1 and MD do not have.
		



	Oh my god yes we all know what the M stands for .... all I meant was a full frame Camera with the M mount.  A real M mount no adapters just an M mount 


Edited October 30 by Artin

"
"
Matlock","1,024 posts",10/30/2021 07:18  PM,"



		4 minutes ago, Artin said:
	


			Oh my god yes we all know what the M stands for .... all I meant was a full frame Camera with the M mount.  A real M mount no adapters just an M mount 
		



	My reply wasn't aimed at you Artin but it seems the quite a few don't know what M stands for. I fully understood what you meant.

"
"
IkarusJohn","10,120 posts",10/30/2021 07:27  PM,"

Advertisement (gone after registration)



 

	I thought it stood for Muppet

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Artin","1,624 posts",10/30/2021 07:28  PM,"


	No problem Mat I know that everyone understood what I mean here .. I wish everyone can clearly understand where I am going with this post .


	I clearly said if Leica brought out a M mount EVF camera with full frame With some good specs would you buy one to accompany your rangefinder.


	look at what they did with the SL 24-70 2.8.   Gave Sl users a choice. 24-90. Made in Germany. 7500.00 ......24-70. Made in Japan 3500 dollars 


	they say the reason M is very expensive  is the rangefinder mech.. German wages .. and so on.  Well there are options 

"
"
Kwesi",816 posts,10/30/2021 08:10  PM,"


	Chances are no, I wouldn't buy one because for me it doesn't give me any real use advantages over the traditional M.


	 

"
"
Jeff S","18,643 posts",10/30/2021 08:30  PM,"



		1 hour ago, Matlock said:
	


			The M stands for Messsucher or Rangefinder which the M1 and MD do not have.
		



	Thought you were referring to recent M digital D (screenless) cameras.


	Jeff

"
"
250swb","9,958 posts",10/30/2021 08:37  PM,"



		5 hours ago, Artin said:
	


			 Now along side they release another camera for the M No range finder .. high Rez EVF.. Ibis .. 40-50MPX..electronic shutter, stacked sensor .. Video.. manual focus M mount ... Made in Japan not Germany.. But high quality standards.  Relatively same size and layout of the M ...at $3500.00 US. Would you Buy one ??  
		



	I hate to pop the bubble but that's a Nikon Z7.

"
"
Artin","1,624 posts",10/30/2021 08:41  PM,"



		26 minutes ago, Kwesi said:
	


			Chances are no, I wouldn't buy one because for me it doesn't give me any real use advantages over the traditional M.
		

			 
		



	I think it would be a wonderful platform to use with the variety of rather difficult lenses to work with such as the 75 .. wide angles noctilux and so on 


	I also think it would be great way for an entry into the system on price point.. nice option when you don’t want to risk a 10,000 dollar investment in certain situations.. a so called expansion of versatility.. sort of what the CL was to the system 50 years ago. It was a fantastic little camera that was loved by large amount of M users.  And still is 

"
"
BlackBarn",624 posts,10/30/2021 08:41  PM,"


	For me any camera capable of using ‘M’ glass well has got to be worth a look although I am not certain if your hypothetical price point is achievable or a bit of science fiction to sway the voters.  
	 


	Anyway …would I buy a car which still got me from A to B made by the same manufacturer and carried the same ethos but which was 35% of their current prices and had stuff I didn’t really need like lane change assist bla bla bla but offered a less engaging and enjoyable experience when driving?


	For sure I would - for my digital cameras  - if you chuck in weather sealing - and I would also be more willing to consider upgrades if and when at that price.


	However saying that I’m more than certain that would make using my Mechanical M a little bit more special.
	 


	 

"
"
Edax",91 posts,10/30/2021 08:43  PM,"


	The answer is NO. Because it most probably will rely on contrast-based manual focussing (with optional magnification). Much slower than a rangefinder or a SLR with split-view ground glass.


	It is the most important asset of the M; quick manual focussing of those petite and beautiful lenses by means of that rangefinder...


Edited Saturday at 08:45  PM by Edax

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Artin","1,624 posts",10/30/2021 08:46  PM,"


	It would be wonderful.. as we sit here today I am going to a Holoween party , I would love to take my M10R along and take some interesting pictures however I am not willing to expose. 16,000 dollar investment when there will be bunch of drunk strangers all around me.. but my hypothetical M with a Voightlander on it would have been a lot more comfortable outing 

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Jeff S","18,643 posts",10/30/2021 08:53  PM,"



		5 minutes ago, Artin said:
	


			It would be wonderful.. as we sit here today I am going to a Holoween party , I would love to take my M10R along and take some interesting pictures however I am not willing to expose. 16,000 dollar investment when there will be bunch of drunk strangers all around me.. but my hypothetical M with a Voightlander on it would have been a lot more comfortable outing 
		



	Put a cheap costume on your camera.  Or buy insurance.


	Jeff

"
"
Kwesi",816 posts,10/30/2021 09:43  PM,"



		53 minutes ago, Artin said:
	


			I think it would be a wonderful platform to use with the variety of rather difficult lenses to work with such as the 75 .. wide angles noctilux and so on 
		

			I also think it would be great way for an entry into the system on price point.. nice option when you don’t want to risk a 10,000 dollar investment in certain situations.. a so called expansion of versatility.. sort of what the CL was to the system 50 years ago. It was a fantastic little camera that was loved by large amount of M users.  And still is 
		



	I agree with you regarding allowing tough to focus lenses to be much easier to work with but Leica would never make a $3,500 M mount camera simply because a huge part of the M cachet is price and that price point would devalue the M. Regardless of country of manufacture.

"
"
adan","10,765 posts",10/30/2021 09:48  PM,"



		1 hour ago, Matlock said:
	


			My reply wasn't aimed at you Artin but it seems the quite a few don't know what M stands for.
		



	If they read the ""M11 - your next camera?"" thread - they do NOW! 

	It's rather too bad Leica already used up the label ""M-D"" for the LCD-less digital Ms. And M-E for the end-of-production-life ""leftovers"" digitals. Because what Artin describes would fulfill the function of the film-era MD/MD-2/MDa: ttl-viewing (at most), for appropriate kinds of photography (microscopy, or with the old-school mirror Visoflex and macro/long lenses). Which made a lot of sense when Leitz actually still built microscopes - and/or had not yet developed their own SLR. 

	Reintroducing the ""MD"" in digital form (as, say, an MDb, MD-2e, MDd, or MDe) at this point might be confusing - although a logical progression.


	_______________


	Anyway, as to the ""poll"" - this would never be my go-to camera, which will always have split-image manual focusing (RF/VF, or in a pinch, an SLR with split-image screen).


	It might be a 4th or 5th body, for adjunct/special uses (like the film MD) - probably with an R-M adapter permanently mounted.


	I think the suggested price is overly-optimistic - probably closer to $5K at a minimum. But I won't buy it if I don't have a use for it - regardless of whether it is $3495, or $4995 - or $495. 

	""Not made in Germany"" would not be a big deal as such - for a long while I only used ""Made in Canada"" gear. And also used the Japanese Konica Hexar RF - which had some design bugs, but was built rather nicely. I'd assume Leica would specify that it use their custom M-specific sensor (the wider M lenses require it) - so it won't have an off-the-shelf Sony or Panasonic or ???? sensor.

"
"
LBJ2",640 posts,10/30/2021 09:50  PM,"



		6 hours ago, Artin said:
	


			If or when say M11 is out..Ok Traditional Leica M with Rangefinder say 40-50 MPX improved buffer and all same size and same layout as always price tag $9500 us .. Great all good 
		

			Now along side they release another camera for the M No range finder .. high Rez EVF.. Ibis .. 40-50MPX..electronic shutter, stacked sensor .. Video.. manual focus M mount ... Made in Japan not Germany.. But high quality standards.  Relatively same size and layout of the M ...at $3500.00 US. Would you Buy one ??  
		



	NO is my hypothetical answer. 


Edited Saturday at 09:51  PM by LBJ2

"
"
Artin","1,624 posts",10/30/2021 09:53  PM,"



		9 minutes ago, Kwesi said:
	


			I agree with you regarding allowing tough to focus lenses to be much easier to work with but Leica would never make a $3,500 M mount camera simply because a huge part of the M cachet is price and that price point would devalue the M. Regardless of country of manufacture.
		



	Ok how is it any different then all the other product the pumped into the market with the red logo from the point and shoots to the instant cameras. And the Lumix sisters.   How is it any different then the Sl24-70 

"
"
Kwesi",816 posts,10/30/2021 09:55  PM,"

Advertisement (gone after registration)



 

	its different because none of the others use a native M mount

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
pop","21,130 posts",10/30/2021 10:53  PM,"



		vor 7 Stunden schrieb Artin:
	


			Made in Japan not Germany
		



	It's been several decades since Japan had low labour costs or low manufacturing costs.


	Besides that, a solid state camera has its uses, and so - why not, if the camera does something I need?

"
"
LocalHero1953","8,858 posts",10/30/2021 11:05  PM,"



		5 hours ago, Matlock said:
	


			 The 'M' stands for Messsucher or rangefinder in German. However the M1 and the MD series seem not to obey that rule.




	Sorry - it was a tired sarcastic remark arising from one glass of red wine too many. The ""it can't be an M if it doesn't have a rangefinder"" statement comes up time after time, as if it made a hoot of difference to what cameras sell or don't sell. I can just imagine the discussion among the gnomes of Wetzlar ""Oh f###, we can't make that camera, even thought it looks like an M, takes M lenses, and even walks like an M, and would sell like hot cakes, because it doesn't have a f###ing Messsucher in it"".


	(That's another tired sarcastic remark after yet another glass of red wine.)


Edited Saturday at 11:06  PM by LocalHero1953

"
"
IkarusJohn","10,120 posts",10/30/2021 11:51  PM,"


	Okay, if we take our heads out of our arses for a moment, and look at the cameras Leica provides - Sinar in large format; S in medium format; L mount in APS-C and 135 format; M in 135 format; and then fixed lens 135 Q (ignoring the PanaLeicas), why would Leica make an EVF based M?  The M mount is a bit of a nightmare etc etc etc


	Steve says a bit further back, that’s the Nikon Z7 (which isn’t optimised for M lenses); at times others, Jono included, have said the L mount is the future (with a whole host of things that don’t work with M lenses) …


	But, actually, it’s all about the M mount and its lenses.  That’s the point.  Anything which expands demand and use of M lenses has to be a good thing, surely.  It’s a variant which can be dropped at any time.  Leica makes full frame cameras in M mount, L mount and fixed lens - the only one with an optical rangefinder is the M, yet it has the most loyal following, the most lenses and it’s most precious and unique selling point.  I can’t see why adding a more cost effective EVF version would do anything but increase sales.


	Because, as I said above, M means Muppet …


	 


Edited Saturday at 11:53  PM by IkarusJohn

"
"
Artin","1,624 posts",10/31/2021 05:12  AM,"



		5 hours ago, IkarusJohn said:
	


			Okay, if we take our heads out of our arses for a moment, and look at the cameras Leica provides - Sinar in large format; S in medium format; L mount in APS-C and 135 format; M in 135 format; and then fixed lens 135 Q (ignoring the PanaLeicas), why would Leica make an EVF based M?  The M mount is a bit of a nightmare etc etc etc
		

			Steve says a bit further back, that’s the Nikon Z7 (which isn’t optimised for M lenses); at times others, Jono included, have said the L mount is the future (with a whole host of things that don’t work with M lenses) …
		

			But, actually, it’s all about the M mount and its lenses.  That’s the point.  Anything which expands demand and use of M lenses has to be a good thing, surely.  It’s a variant which can be dropped at any time.  Leica makes full frame cameras in M mount, L mount and fixed lens - the only one with an optical rangefinder is the M, yet it has the most loyal following, the most lenses and it’s most precious and unique selling point.  I can’t see why adding a more cost effective EVF version would do anything but increase sales.
		

			Because, as I said above, M means Muppet …
		

			 
		



	My point exactly.. the heart and soul  of Leica is 70 years of M lenses. There should be a bunch of bodies using the M lens.  

"
"
pop","21,130 posts",10/31/2021 06:58  AM,"



		vor 1 Stunde schrieb Artin:
	


			There should be a bunch of bodies using the M lens
		



	I presume that's why they make the adapter for using M lenses on the L mount.

"
"
Matlock","1,024 posts",10/31/2021 07:54  AM,"

Advertisement (gone after registration)



 


		8 hours ago, LocalHero1953 said:
	


			Sorry - it was a tired sarcastic remark arising from one glass of red wine too many. The ""it can't be an M if it doesn't have a rangefinder"" statement comes up time after time, as if it made a hoot of difference to what cameras sell or don't sell. I can just imagine the discussion among the gnomes of Wetzlar ""Oh f###, we can't make that camera, even thought it looks like an M, takes M lenses, and even walks like an M, and would sell like hot cakes, because it doesn't have a f###ing Messsucher in it"".
		

			(That's another tired sarcastic remark after yet another glass of red wine.)
		



	That's all very well, but why didn't I get offered a glass?


	 

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
LocalHero1953","8,858 posts",10/31/2021 08:03  AM,"



		8 minutes ago, Matlock said:
	


			That's all very well, but why didn't I get offered a glass?
		

			 
		



	I'll PM you one......

"
"
ianman","7,949 posts",10/31/2021 08:06  AM,"



		15 hours ago, jdlaing said:
	


			If a camera has no rangefinder it can’t be an M.
		



	Why not?  Does M mean something soecia? 🤔

"
"
Viv",877 posts,10/31/2021 08:08  AM,"


	No. I have enough cameras (three).

"
"
Matlock","1,024 posts",10/31/2021 08:09  AM,"



		2 minutes ago, ianman said:
	


			Why not?  Does M mean something soecia? 🤔




The 'M' stands for Messsucher or rangefinder in German. 

"
"
ianman","7,949 posts",10/31/2021 08:14  AM,"


	My answer is no and that has zilch to do with a hypothetical price or hypothetical country of manufacture.

"
"
Simone_DF",905 posts,10/31/2021 09:47  AM,"



		17 hours ago, jdlaing said:
	


			If a camera has no rangefinder it can’t be an M.
		



	Feel free to pick any outstanding letter of the alphabet to call a native M mount mirrorless camera with EVF produced by Leica. 
	maybe Leica E?

"
"
IkarusJohn","10,120 posts",10/31/2021 09:52  AM,"


	Muppet

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
jdlaing","9,328 posts",10/31/2021 01:52  PM,"



		4 hours ago, Simone_DF said:
	


			Feel free to pick any outstanding letter of the alphabet to call a native M mount mirrorless camera with EVF produced by Leica. 
			maybe Leica E?
		



	M mount is M mount. The evf mirrorless cameras are Q, L, S. You need or want an evf that’s what you pick.

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
jdlaing","9,328 posts",10/31/2021 01:53  PM,"



		5 hours ago, ianman said:
	


			Why not?  Does M mean something soecia? 🤔




	Yes it does. 

"
"
Herr Barnack","5,040 posts",10/31/2021 02:02  PM,"



		8 hours ago, Artin said:
	


			My point exactly.. the heart and soul  of Leica is 70 years of M lenses. There should be a bunch of bodies using the M lens.  




	Hear, hear.  It blows my mind that many other camera makers have not figured that out. 


	Apparently their minds are just too fixated on the SLR and/or mirrorless design and worldview.

"
"
ianman","7,949 posts",10/31/2021 02:03  PM,"



		12 minutes ago, jdlaing said:
	


			Yes it does. 
		



	Looks like I should swith off that spellchecker... has a mind of it's own 😂


	I guess I should make it clearer when I'm writing in sacarstic mode... but then it's less fun.


Edited Sunday at 02:07  PM by ianman

"
"
Artin","1,624 posts",10/31/2021 02:10  PM,"



		13 minutes ago, jdlaing said:
	


			M mount is M mount. The evf mirrorless cameras are Q, L, S. You need or want an evf that’s what you pick.
		



	Yes and none of those are really made to take an M mount lens without an adaptor , which is something that I am not personally fond of, This fucking stupid romance that people have with ,, oh M stands for Messsuere  god forbid if you ever loose sight of that.  Let’s put the M letter in a museum retire it the the Photo hall of fame 


	 

"
"
lct","22,167 posts",10/31/2021 02:17  PM,"



		22 hours ago, Artin said:
	


			Now along side they release another camera for the M No range finder .. high Rez EVF.. Ibis .. 40-50MPX..electronic shutter, stacked sensor .. Video.. manual focus M mount ... Made in Japan not Germany.. But high quality standards.  Relatively same size and layout of the M ...at $3500.00 US. Would you Buy one ??  
		



	Sure i would and for more money too provided it is an M-mount camera. I have plenty of rangefinders already and i don't see the point of buying expensive 60MP (?) RF cameras unable to focus some fast or close focus lenses sans accessory EVF. M lenses deserve better than that. BTW why would such an M-mount camera be made in Japan? To reassure RF users? 
"
"
Artin","1,624 posts",10/31/2021 02:22  PM,"

Advertisement (gone after registration)



 


		2 minutes ago, lct said:
	


			Sure i would and for more money too provided it is an M-mount camera. I have plenty of rangefinders already and i don't see the point of buying expensive 60MP (?) RF cameras unable to focus some fast or close focus lenses sans accessory EVF. M lenses deserve better than that. BTW why would such an M-mount camera be made in Japan? To reassure RF users? 



	Does not have to be made in Japan that was just and idea.. mostly it would probably save a ton of money and keep price point down , it may not .. I personally would pay 10k + for a Camera like that made in Germany 

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
charlesphoto99","1,823 posts",10/31/2021 03:09  PM,"



		18 hours ago, Artin said:
	


			I am not willing to expose. 16,000 dollar investment when there will be bunch of drunk strangers all around me.. but my hypothetical M with a Voightlander on it would have been a lot more comfortable outing 
		



	You have got to be kidding.... no wonder Leica now gets the badge of overpriced jewelry for jet setters. Why bother with owning an expensive camera in the first place if it sits at home dependent on the 'weather' outside? Sure, if you don't feel like you have the street savvy to not lose it or get ripped off, leave it at home, but then why also risk a $4000 investment? Anyway, we already have a lower priced M, the Leica CL - or at even less risk an iPhone 13 Pro or Pixel 6 Pro.

"
"
SrMi","1,853 posts",10/31/2021 03:56  PM,"



		46 minutes ago, charlesphoto99 said:
	


			You have got to be kidding.... no wonder Leica now gets the badge of overpriced jewelry for jet setters. Why bother with owning an expensive camera in the first place if it sits at home dependent on the 'weather' outside? Sure, if you don't feel like you have the street savvy to not lose it or get ripped off, leave it at home, but then why also risk a $4000 investment? Anyway, we already have a lower priced M, the Leica CL - or at even less risk an iPhone 13 Pro or Pixel 6 Pro.
		



	Leica CL, a mighty little camera, is no M. Maybe Leica M11 will have an Air Tag built in  .... not likely.

"
"
SrMi","1,853 posts",10/31/2021 03:59  PM,"



		1 hour ago, Artin said:
	


			Does not have to be made in Japan that was just and idea.. mostly it would probably save a ton of money and keep price point down , it may not .. I personally would pay 10k + for a Camera like that made in Germany 
		



	FYI, much of an M camera is done in Portugal (cost reasons). Building in Japan is also expensive, that is why Japanese companies moved some production to Thailand, China or Vietnam.

"
"
Artin","1,624 posts",10/31/2021 04:05  PM,"



		1 minute ago, SrMi said:
	


			FYI, much of an M camera is done in Portugal (cost reasons). Building in Japan is also expensive, that is why Japanese companies moved some production to Thailand, China or Vietnam.
		



	To be honest I could not care less where they are made as long as they are made well.. My Mac book is made in China .. I don’t care it’s still a very good quality computer.  My favourite lenses were made here in Canada .I had a lemon BMW shitbox of a SUV made in Germany and was GARBAGE .. My favourite SUV was made in England and was great .. my Current SUV is made in Germany and it is very good .. Borders don’t mean a thing anymore it’s a global market.

"
"
SrMi","1,853 posts",10/31/2021 04:10  PM,"



		2 minutes ago, Artin said:
	


			To be honest I could not care less where they are made as long as they are made well.. My Mac book is made in China .. I don’t care it’s still a very good quality computer.  My favourite lenses were made here in Canada .I had a lemon BMW shitbox of a SUV made in Germany and was GARBAGE .. My favourite SUV was made in England and was great .. my Current SUV is made in Germany and it is very good .. Borders don’t mean a thing anymore it’s a global market.
		



	Based on your posts, it seemed to matter to you (Artin: I personally would pay 10k + for a Camera like that made in Germany). It seems I was wrong.

"
"
Artin","1,624 posts",10/31/2021 04:39  PM,"

Advertisement (gone after registration)



 


		19 minutes ago, SrMi said:
	


			Based on your posts, it seemed to matter to you (Artin: I personally would pay 10k + for a Camera like that made in Germany). It seems I was wrong.
		



	You are. That was in response to a previous poster. I do care where , I care about the quality, technology, Craftsmanship, If they make something that is worth it For me I would purchase it. 
	 Example .. The Nikon Z9. I have no Idea where it will be made could be Japan , Malaysia , China .. does not matter .. technology yes , Craftsmanship possibly good , Overall quality  ahh so so based on their past models like the D5, I hate all the plastic and rubber that comes with them. 5500 us I find it a good Value for what they are giving me .. I will purchase it.  Now if they made it in the same level of the SL2 Craftsmanship. I will gladly pay double. I would care less about the Name tag or where it’s made  

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
charlesphoto99","1,823 posts",10/31/2021 04:44  PM,"


	Well, soon enough, there might be a glut of used M10's and there may be more 'disposable' $3-4K M's on the market, not to mention even lower priced 240's. Or just be careful. One reason I eschew fashion leather straps and bags, in favor of Upstraps that stay on your shoulder without shrugging, and Peak or Billingham  bags (btw Peak dividers work great in BH bags).


	What I would like to see with the M moving forward is - gasp! - a change in ergonomics. Enough with the silly add ons in order to be able to hold onto it comfortably for long periods without experiencing carpal, put a bump on the front. Bring back the M3 ridges around the viewfinders to keep fingers from constantly smearing them, a button activated led lamp for the shutter speed dial, back screen flush(er) with the body, etc. I'm one who actually loves the removable base plate, nostalgia mostly I guess. 


	Higher ISO would be nice, but then that cuts into sales of their uber expensive fast lenses!  Faster startup time (I'll bet that Z9 is ready immediately!) and that's about it. 

"
