Autor,Posts,Date,content
"
Herr Barnack","5,040 posts",10/30/2021 04:42  PM,"



		1 hour ago, Artin said:
	


			If or when say M11 is out..Ok Traditional Leica M with Rangefinder say 40-50 MPX improved buffer and all same size and same layout as always price tag $9500 us .. Great all good 
		

			Now along side they release another camera for the M No range finder .. high Rez EVF.. Ibis .. 40-50MPX..electronic shutter, stacked sensor .. Video.. manual focus M mount ... Made in Japan not Germany.. But high quality standards.  Relatively same size and layout of the M ...at $3500.00 US. Would you Buy one ??  




	Since this is a hypothetical question, my answer would be a ""yes"" - hypothetically, of course.


	I would not buy the hypothetical Japan made camera instead of an M11 but as an adjunct to the M11.


	All the above is contingent upon my suddenly experiencing an unexpected financial windfall so that I would have the hard currency to buy both hypothetical cameras.  As it turns out, attempting to buy any M camera or lens with hypothetical money yields the same end result as attempting to buy with the much ballyhooed ""exposure dollars"" that companies who want photographers to work for free always dangle in front of us.


Edited October 30 by Herr Barnack

"
"
M8X2",21 posts,10/30/2021 05:34  PM,"



		vor 2 Stunden schrieb Artin:
	


			If or when say M11 is out..Ok Traditional Leica M with Rangefinder say 40-50 MPX improved buffer and all same size and same layout as always price tag $9500 us .. Great all good 
		

			Now along side they release another camera for the M No range finder .. high Rez EVF.. Ibis .. 40-50MPX..electronic shutter, stacked sensor .. Video.. manual focus M mount ... Made in Japan not Germany.. But high quality standards.  Relatively same size and layout of the M ...at $3500.00 US. Would you Buy one ??  
		



	I would buy a Q with an M-mount in a split second.


Edited October 30 by M8X2

"
"
Artin","1,624 posts",10/30/2021 05:35  PM,"


	I would buy one as a second body in a split second as well 

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Matlock","1,024 posts",10/30/2021 05:42  PM,"



		57 minutes ago, LocalHero1953 said:
	


			Really? I never knew that!
		



	 The 'M' stands for Messsucher or rangefinder in German. However the M1 and the MD series seem not to obey that rule.

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Jeff S","18,643 posts",10/30/2021 05:47  PM,"



		3 minutes ago, Matlock said:
	


			 However the M1 and the MD series seem not to obey that rule.




	Sure they do…. M doesn’t stand for Monitor… the RF remains.


	Jeff

"
"
IkarusJohn","10,120 posts",10/30/2021 06:18  PM,"


	I would be outraged, I’d suffer a huge crisis, I’d sell all my Leica gear in protest, and I’d buy a Z9, or a Fuji, or a Sony …


Edited October 30 by IkarusJohn

"
"
Matlock","1,024 posts",10/30/2021 06:29  PM,"



		40 minutes ago, Jeff S said:
	


			Sure they do…. M doesn’t stand for Monitor… the RF remains.
		

			Jeff
		



	The M stands for Messsucher or Rangefinder which the M1 and MD do not have.

"
"
T25UFO",779 posts,10/30/2021 06:34  PM,"


	Hypothetical answer: no

"
"
LBJ2",640 posts,10/30/2021 06:36  PM,"



		3 hours ago, Artin said:
	


			If or when say M11 is out..Ok Traditional Leica M with Rangefinder say 40-50 MPX improved buffer and all same size and same layout as always price tag $9500 us .. Great all good 
		

			Now along side they release another camera for the M No range finder .. high Rez EVF.. Ibis .. 40-50MPX..electronic shutter, stacked sensor .. Video.. manual focus M mount ... Made in Japan not Germany.. But high quality standards.  Relatively same size and layout of the M ...at $3500.00 US. Would you Buy one ??  
		



	For me the second option is well covered with so many other mirrorless cameras on the market for some years now. Besides if your mystery camera is Leica FF @ $3500...hell did in fact freeze over and we have other problems to deal with 😉🙃


	Seriously, IMO the SL2/S are such great options with all the mirrorless bells and whistles for adapting M lenses and on the shelves available for purchase as I type its really hard to dream of anything else.


	The Leica Rangefinder is however a completely different love affair for me. Not really looking for another lovely at the moment. As the M10-R is Simply Irresistible according to Robert Palmer's definition. *May he RIP. 

"
